seq,date,year,status,signature,has_rodo_violation,resolution,violation,violated_requirement,fine,rodo_articles,file
201,2019-11-20,2019,PRAWOMOCNA,ZKE.440.54.2019,0,nakazuje Panu P. K. prowadzącemu działalność gospodarczą pod firmą P. wyeliminowanie,brak stwierdzenia naruszenia,,,art.6ust.1;art.4pkt2;art.6;art.6ust.1litf;art.6f,by-year/2019/2019-11-20__PRAWOMOCNA__ZKE.440.54.2019.txt
202,2019-09-13,2019,PRAWOMOCNA,ZKE.440.55.2019,0,odmawia uwzględnienia wniosku.,brak stwierdzenia naruszenia,,,art.2ust.2lit.c,by-year/2019/2019-09-13__PRAWOMOCNA__ZKE.440.55.2019.txt
203,2019-12-23,2019,PRAWOMOCNA,ZKE.440.56.2019,0,odmawia uwzględnienia wniosku.,brak stwierdzenia naruszenia,,,art.6ust.1lit.f;art.6ust.1;art.6ust.1lit.a;art.6ust.1lit.c;art.6ust.1lit.b;art.6ust.1lit.e,by-year/2019/2019-12-23__PRAWOMOCNA__ZKE.440.56.2019.txt
204,2019-12-24,2019,PRAWOMOCNA,ZKE.440.57.2019,0,odmawia uwzględnienia wniosku.,brak stwierdzenia naruszenia,,,art.57ust.1;art.6ust.1;art.6ust.1lit.f;art.28,by-year/2019/2019-12-24__PRAWOMOCNA__ZKE.440.57.2019.txt
205,2020-07-03,2020,PRAWOMOCNA,ZKE.440.58.2019,0,"nakazuje O. S.A. spełnienie obowiązku informacyjnego wobec Pana R. P., poprzez",brak stwierdzenia naruszenia,,,art.15;art.12;art.15ust.1;art.15ust.3,by-year/2020/2020-07-03__PRAWOMOCNA__ZKE.440.58.2019.txt
206,2019-12-23,2019,PRAWOMOCNA,ZKE.440.59.2019,0,odmawia uwzględnienia wniosku.,brak stwierdzenia naruszenia,,,art.6ust.1lit.f,by-year/2019/2019-12-23__PRAWOMOCNA__ZKE.440.59.2019.txt
207,2020-05-27,2020,PRAWOMOCNA,ZKE.440.6.2019,0,odmawia uwzględnienia wniosku,brak stwierdzenia naruszenia,,,art.28;art.57ust.1;art.1ust1;art.6ust.1;art.4pkt2;art.58,by-year/2020/2020-05-27__PRAWOMOCNA__ZKE.440.6.2019.txt
208,2020-09-25,2020,PRAWOMOCNA,ZKE.440.61.2019,0,2. W pozostałym zakresie odmawia uwzględnienia wniosku.,brak stwierdzenia naruszenia,,,art.6ust.1lit.c;art.6ust.1lit.f;art.6ust.1,by-year/2020/2020-09-25__PRAWOMOCNA__ZKE.440.61.2019.txt
209,2020-04-30,2020,PRAWOMOCNA,ZKE.440.63.2019,0,odmawia uwzględnienia wniosku,brak stwierdzenia naruszenia,,,art.57ust.1;art.1ust1;art.6ust.1;art.4pkt2;art.58,by-year/2020/2020-04-30__PRAWOMOCNA__ZKE.440.63.2019.txt
210,2020-01-07,2020,PRAWOMOCNA,ZKE.440.64.2019,0,odmawia uwzględnienia wniosku.,brak stwierdzenia naruszenia,,,art.6ust.1;art.6ust.1lit.a;art.6ust.1lit.c;art.6ust.1lit.b;art.6ust.1lit.e;art.6ust.1lit.f,by-year/2020/2020-01-07__PRAWOMOCNA__ZKE.440.64.2019.txt
211,2020-04-23,2020,PRAWOMOCNA,ZKE.440.65.2019,0,odmawia uwzględnienia wniosku,brak stwierdzenia naruszenia,,,art.57ust.1;art.1ust1;art.6ust.1;art.4pkt2;art.58,by-year/2020/2020-04-23__PRAWOMOCNA__ZKE.440.65.2019.txt
212,2020-05-27,2020,PRAWOMOCNA,ZKE.440.66.2019,0,odmawia uwzględnienia wniosku.,brak stwierdzenia naruszenia,,,art.28;art.6ust.1lit.c;art.6ust.1lit.f;art.57ust.1;art.6ust.1;art.6;art.5ust.1lit.c,by-year/2020/2020-05-27__PRAWOMOCNA__ZKE.440.66.2019.txt
213,2020-02-20,2020,PRAWOMOCNA,ZKE.440.67.2019,0,odmawia uwzględnienia wniosku,brak stwierdzenia naruszenia,,,art.57ust.1;art.6ust.1;art.15;art.58,by-year/2020/2020-02-20__PRAWOMOCNA__ZKE.440.67.2019.txt
214,2019-10-21,2019,PRAWOMOCNA,ZKE.440.68.2019,0,odmawia uwzględnienia wniosku.,brak stwierdzenia naruszenia,,,art.6lit.b;art.6ust.1lit.f;art.6ust.1,by-year/2019/2019-10-21__PRAWOMOCNA__ZKE.440.68.2019.txt
215,2019-11-29,2019,PRAWOMOCNA,ZKE.440.69.2019,0,umarza postępowanie.,brak stwierdzenia naruszenia,,,,by-year/2019/2019-11-29__PRAWOMOCNA__ZKE.440.69.2019.txt
216,2019-12-23,2019,PRAWOMOCNA,ZKE.440.7.2019,0,umarza postępowanie.,brak stwierdzenia naruszenia,,,,by-year/2019/2019-12-23__PRAWOMOCNA__ZKE.440.7.2019.txt
217,2019-12-23,2019,PRAWOMOCNA,ZKE.440.70.2019,0,odmawia uwzględnienia wniosku.,brak stwierdzenia naruszenia,,,art.57ust.1;art.6ust.1;art.6ust.1lit.f;art.17ust.1;art.17ust.1lit.c;art.21ust.1;art.58ust.2,by-year/2019/2019-12-23__PRAWOMOCNA__ZKE.440.70.2019.txt
218,2021-06-16,2021,PRAWOMOCNA,ZKE.440.71.2019,0,2. umarza postępowanie w pozostałym zakresie.,brak stwierdzenia naruszenia,,,art.57ust.1,by-year/2021/2021-06-16__PRAWOMOCNA__ZKE.440.71.2019.txt
219,2019-12-23,2019,PRAWOMOCNA,ZKE.440.73.2019,0,odmawia uwzględnienia wniosku,brak stwierdzenia naruszenia,,,art.58ust.2,by-year/2019/2019-12-23__PRAWOMOCNA__ZKE.440.73.2019.txt
220,2020-05-27,2020,PRAWOMOCNA,ZKE.440.74.2019,0,odmawia uwzględnienia wniosku.,brak stwierdzenia naruszenia,,,art.57ust.1litf;art.6ust.1,by-year/2020/2020-05-27__PRAWOMOCNA__ZKE.440.74.2019.txt
221,2019-12-23,2019,PRAWOMOCNA,ZKE.440.75.2019,0,umarza postępowanie.,brak stwierdzenia naruszenia,,,,by-year/2019/2019-12-23__PRAWOMOCNA__ZKE.440.75.2019.txt
222,2019-10-16,2019,PRAWOMOCNA,ZKE.440.76.2019,0,"nakazuje A. Sp. z o.o., spełnienie obowiązku informacyjnego wobec Pana D. K. poprzez",brak stwierdzenia naruszenia,,,art.15ust.1;art.15;art.12,by-year/2019/2019-10-16__PRAWOMOCNA__ZKE.440.76.2019.txt
223,2020-04-23,2020,PRAWOMOCNA,ZKE.440.79.2019,0,odmawia uwzględnienia wniosku.,brak stwierdzenia naruszenia,,,art.6ust.1lit.a;art.6ust.1lit.c;art.6ust.1lit.b;art.6ust.1lit.e;art.6ust.1lit.f;art.21ust.2,by-year/2020/2020-04-23__PRAWOMOCNA__ZKE.440.79.2019.txt
224,2020-05-27,2020,PRAWOMOCNA,ZKE.440.8.2019,0,utrzymuje w mocy zaskarżoną decyzję.,brak stwierdzenia naruszenia,,,art.6ust.1lit.f;art.5ust.1lit.b,by-year/2020/2020-05-27__PRAWOMOCNA__ZKE.440.8.2019.txt
225,2020-06-08,2020,PRAWOMOCNA,ZKE.440.80.2019,0,umarza postępowanie.,brak stwierdzenia naruszenia,,,,by-year/2020/2020-06-08__PRAWOMOCNA__ZKE.440.80.2019.txt
226,2020-07-17,2020,PRAWOMOCNA,ZKE.440.81.2019,0,utrzymuje w mocy zaskarżoną decyzję.,brak stwierdzenia naruszenia,,,art.57ust.1,by-year/2020/2020-07-17__PRAWOMOCNA__ZKE.440.81.2019.txt
227,2020-07-23,2020,PRAWOMOCNA,ZKE.440.83.2019,0,odmawia uwzględnienia wniosku.,brak stwierdzenia naruszenia,,,art.6ust.1lit.a;art.6ust.1lit.c;art.6ust.1lit.b;art.6ust.1lit.e;art.6ust.1lit.f;art.28,by-year/2020/2020-07-23__PRAWOMOCNA__ZKE.440.83.2019.txt
228,2020-01-09,2020,PRAWOMOCNA,ZKE.440.84.2019,0,odmawia uwzględnienia wniosku.,brak stwierdzenia naruszenia,,,art.57ust.1litf,by-year/2020/2020-01-09__PRAWOMOCNA__ZKE.440.84.2019.txt
229,2019-12-23,2019,PRAWOMOCNA,ZKE.440.86.2019,0,2) umarza postępowanie w zakresie przetwarzania danych przez I. Sp. z o.o.,brak stwierdzenia naruszenia,,,art.6ust.1litc,by-year/2019/2019-12-23__PRAWOMOCNA__ZKE.440.86.2019.txt
230,2020-05-14,2020,PRAWOMOCNA,ZKE.440.87.2019,0,umarza postępowanie.,brak stwierdzenia naruszenia,,,,by-year/2020/2020-05-14__PRAWOMOCNA__ZKE.440.87.2019.txt
231,2019-12-23,2019,PRAWOMOCNA,ZKE.440.88.2019,0,odmawia uwzględnienia wniosku.,brak stwierdzenia naruszenia,,,,by-year/2019/2019-12-23__PRAWOMOCNA__ZKE.440.88.2019.txt
232,2020-02-20,2020,PRAWOMOCNA,ZKE.440.89.2019,0,2) w pozostałym zakresie odmawia uwzględnienia wniosku.,brak stwierdzenia naruszenia,,,art.15ust.1;art.15;art.12;art.13,by-year/2020/2020-02-20__PRAWOMOCNA__ZKE.440.89.2019.txt
233,2019-12-23,2019,PRAWOMOCNA,ZKE.440.9.2019,0,odmawia uwzględnienia wniosku.,brak stwierdzenia naruszenia,,,art.6ust.1lit.b;art.58ust.2,by-year/2019/2019-12-23__PRAWOMOCNA__ZKE.440.9.2019.txt
234,2019-10-29,2019,PRAWOMOCNA,ZKE.440.93.2019,0,odmawia uwzględnienia wniosku.,brak stwierdzenia naruszenia,,,art.6lit.b;art.6ust.1,by-year/2019/2019-10-29__PRAWOMOCNA__ZKE.440.93.2019.txt
235,2019-12-30,2019,PRAWOMOCNA,ZKE.440.94.2019,0,umarza postępowanie,brak stwierdzenia naruszenia,,,art.57ust.1,by-year/2019/2019-12-30__PRAWOMOCNA__ZKE.440.94.2019.txt
236,2020-03-13,2020,PRAWOMOCNA,ZKE.440.95.2019,0,umarza postępowanie.,brak stwierdzenia naruszenia,,,art.6ust.1;art.6ust.1lit.a;art.6ust.1lit.c;art.6ust.1lit.b;art.6ust.1lit.e;art.6ust.1lit.f;art.4pkt2;art.6lit.f,by-year/2020/2020-03-13__PRAWOMOCNA__ZKE.440.95.2019.txt
237,2020-08-21,2020,PRAWOMOCNA,ZSOŚS.421.25.2019,1,"nakłada na Y. w B., karę pieniężną w wysokości 50.000 (pięćdziesięciu tysięcy)",1) stwierdzając naruszenie przez Y,zasady przetwarzania danych (art. 5 RODO),50000 zl,art.38ust.1;art.5ust.2;art.39ust.2;art.30ust.1lit.d;art.30;art.33ust3;art.33ust.5;art.32ust.2;art.32;art.33ust.3;art.34;art.33;art.24;art.5ust.1lit.e;art.24ust.1;Art.5;art.5ust.1lit.f;art.32ust.1;art.32ust2;art.24ust.2;art.30ust.1;art.24ust1;art.39ust.1lit.b;art.38;art.25ust.1;art.37ust.1lit.a;art.37ust.6;art.39ust.1;art.39;art.83ust.4lit.a;art.4pkt9;art.99;art.83;art.83ust.2lit.a;art.42;art.58ust.2;art.83ust.1,by-year/2020/2020-08-21__PRAWOMOCNA__ZSOSS.421.25.2019.txt
238,2019-09-25,2019,PRAWOMOCNA,ZSOŚS.440.102.2019,0,umarzam postępowanie,brak stwierdzenia naruszenia,,,,by-year/2019/2019-09-25__PRAWOMOCNA__ZSOSS.440.102.2019.txt
239,2019-06-18,2019,PRAWOMOCNA,ZSOŚS.440.11.2019,0,umarzam postępowanie,brak stwierdzenia naruszenia,,,,by-year/2019/2019-06-18__PRAWOMOCNA__ZSOSS.440.11.2019.txt
240,2019-04-25,2019,PRAWOMOCNA,ZSOŚS.440.13.2019,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2019/2019-04-25__PRAWOMOCNA__ZSOSS.440.13.2019.txt
241,2019-09-10,2019,PRAWOMOCNA,ZSOŚS.440.140.2019,0,umarzam postępowanie,brak stwierdzenia naruszenia,,,,by-year/2019/2019-09-10__PRAWOMOCNA__ZSOSS.440.140.2019.txt
242,2019-07-15,2019,PRAWOMOCNA,ZSOŚS.440.2.2019,0,umarzam postępowanie,brak stwierdzenia naruszenia,,,,by-year/2019/2019-07-15__PRAWOMOCNA__ZSOSS.440.2.2019.txt
243,2019-09-19,2019,PRAWOMOCNA,ZSOŚS.440.20.2019,0,umarzam postępowanie,brak stwierdzenia naruszenia,,,,by-year/2019/2019-09-19__PRAWOMOCNA__ZSOSS.440.20.2019.txt
244,2019-04-10,2019,PRAWOMOCNA,ZSOŚS.440.23.2019,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2019/2019-04-10__PRAWOMOCNA__ZSOSS.440.23.2019.txt
245,2019-03-19,2019,PRAWOMOCNA,ZSOŚS.440.24.2019,0,umarzam postępowanie,brak stwierdzenia naruszenia,,,,by-year/2019/2019-03-19__PRAWOMOCNA__ZSOSS.440.24.2019.txt
246,2019-08-09,2019,PRAWOMOCNA,ZSOŚS.440.25.2019,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2019/2019-08-09__PRAWOMOCNA__ZSOSS.440.25.2019.txt
247,2019-05-29,2019,PRAWOMOCNA,ZSOŚS.440.26.2019,0,umarzam postępowanie,brak stwierdzenia naruszenia,,,,by-year/2019/2019-05-29__PRAWOMOCNA__ZSOSS.440.26.2019.txt
248,2019-05-29,2019,PRAWOMOCNA,ZSOŚS.440.29.2019,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2019/2019-05-29__PRAWOMOCNA__ZSOSS.440.29.2019.txt
249,2019-03-25,2019,PRAWOMOCNA,ZSOŚS.440.3.2019,0,umarzam postępowanie,brak stwierdzenia naruszenia,,,,by-year/2019/2019-03-25__PRAWOMOCNA__ZSOSS.440.3.2019.txt
250,2019-06-28,2019,PRAWOMOCNA,ZSOŚS.440.31.2019,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2019/2019-06-28__PRAWOMOCNA__ZSOSS.440.31.2019.txt
251,2019-06-14,2019,PRAWOMOCNA,ZSOŚS.440.33.2019,0,umarzam postępowanie,brak stwierdzenia naruszenia,,,,by-year/2019/2019-06-14__PRAWOMOCNA__ZSOSS.440.33.2019.txt
252,2019-08-29,2019,PRAWOMOCNA,ZSOŚS.440.38.2019,0,umarzam postępowanie,brak stwierdzenia naruszenia,,,,by-year/2019/2019-08-29__PRAWOMOCNA__ZSOSS.440.38.2019.txt
253,2019-09-05,2019,PRAWOMOCNA,ZSOŚS.440.40.2019,0,umarzam postępowanie,brak stwierdzenia naruszenia,,,,by-year/2019/2019-09-05__PRAWOMOCNA__ZSOSS.440.40.2019.txt
254,2019-08-22,2019,PRAWOMOCNA,ZSOŚS.440.41.2019,0,umarzam postępowanie,brak stwierdzenia naruszenia,,,,by-year/2019/2019-08-22__PRAWOMOCNA__ZSOSS.440.41.2019.txt
255,2019-09-30,2019,PRAWOMOCNA,ZSOŚS.440.46.2019,0,umarzam postępowanie,brak stwierdzenia naruszenia,,,art.9ust.3,by-year/2019/2019-09-30__PRAWOMOCNA__ZSOSS.440.46.2019.txt
256,2019-04-17,2019,PRAWOMOCNA,ZSOŚS.440.47.2019,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2019/2019-04-17__PRAWOMOCNA__ZSOSS.440.47.2019.txt
257,2019-04-25,2019,PRAWOMOCNA,ZSOŚS.440.5.2019,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2019/2019-04-25__PRAWOMOCNA__ZSOSS.440.5.2019.txt
258,2019-05-23,2019,PRAWOMOCNA,ZSOŚS.440.50.2019,0,umarzam postępowanie,brak stwierdzenia naruszenia,,,,by-year/2019/2019-05-23__PRAWOMOCNA__ZSOSS.440.50.2019.txt
259,2019-06-28,2019,PRAWOMOCNA,ZSOŚS.440.50.2019.II,0,utrzymuję w mocy zaskarżoną decyzję,brak stwierdzenia naruszenia,,,,by-year/2019/2019-06-28__PRAWOMOCNA__ZSOSS.440.50.2019.II.txt
260,2019-07-29,2019,PRAWOMOCNA,ZSOŚS.440.55.2019,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2019/2019-07-29__PRAWOMOCNA__ZSOSS.440.55.2019.txt
261,2019-07-03,2019,PRAWOMOCNA,ZSOŚS.440.56.2019,0,umarzam postępowanie,brak stwierdzenia naruszenia,,,,by-year/2019/2019-07-03__PRAWOMOCNA__ZSOSS.440.56.2019.txt
262,2019-06-14,2019,PRAWOMOCNA,ZSOŚS.440.57.2019,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2019/2019-06-14__PRAWOMOCNA__ZSOSS.440.57.2019.txt
263,2019-08-09,2019,PRAWOMOCNA,ZSOŚS.440.60.2019,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2019/2019-08-09__PRAWOMOCNA__ZSOSS.440.60.2019.txt
264,2019-07-17,2019,PRAWOMOCNA,ZSOŚS.440.64.2019,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2019/2019-07-17__PRAWOMOCNA__ZSOSS.440.64.2019.txt
265,2019-07-18,2019,PRAWOMOCNA,ZSOŚS.440.7.2019,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2019/2019-07-18__PRAWOMOCNA__ZSOSS.440.7.2019.txt
266,2019-07-25,2019,PRAWOMOCNA,ZSOŚS.440.71.2019,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2019/2019-07-25__PRAWOMOCNA__ZSOSS.440.71.2019.txt
267,2019-09-13,2019,PRAWOMOCNA,ZSOŚS.440.74.2019,0,umarzam postępowanie,brak stwierdzenia naruszenia,,,,by-year/2019/2019-09-13__PRAWOMOCNA__ZSOSS.440.74.2019.txt
268,2019-09-11,2019,PRAWOMOCNA,ZSOŚS.440.76.2019,0,umarzam postępowanie,brak stwierdzenia naruszenia,,,,by-year/2019/2019-09-11__PRAWOMOCNA__ZSOSS.440.76.2019.txt
269,2019-09-23,2019,PRAWOMOCNA,ZSOŚS.440.82.2019,0,umarzam postępowanie,brak stwierdzenia naruszenia,,,,by-year/2019/2019-09-23__PRAWOMOCNA__ZSOSS.440.82.2019.txt
270,2019-06-10,2019,PRAWOMOCNA,ZSOŚS.440.9.2019,0,umarzam postępowanie,brak stwierdzenia naruszenia,,,,by-year/2019/2019-06-10__PRAWOMOCNA__ZSOSS.440.9.2019.txt
271,2024-01-17,2024,NIEPRAWOMOCNA,ZSPR.421.2.2019 ZSPR.405.67.2019,1,"nakłada na V. sp. z o. o. z siedzibą w S. za naruszenie art. 5 ust. 1 lit. f), art. 5",stwierdzając naruszenie przez V,odpowiedzialność administratora (art. 24 RODO),,art.5ust.2;art.5ust.1lit.f;art.32ust.2;art.6ust.1;art.83ust.2;art.58ust.2lit.i;art.83ust.5lit.a;art.78ust.1;art.25ust.1;art.5;art.83ust.1;art.32ust1;art.32ust.1;art.24ust.1;art.32ust.1lit.b;art.32ust.1lit.d;art.32ust1lit.d;art.33ust.5;art.5ust.1;art.83ust.4lit.a;Art.83ust.3;art.83ust.2lit.a;Art.82ust.1;art.83ust.2lit.b;art.83ust.2lit.c;art.83ust.2lit.d;art.25;art.32;art.83ust.2lit.e;art.83ust.2lit.f;art.83ust.2lit.g;art.9ust.1;art.10;art.83ust.2lit.h;art.83ust.2lit.i;art.83ust.2lit.j;art.83ust.2lit.k;art.58ust2;art.83ust.4;art.83;art.58ust.2,by-year/2024/2024-01-17__NIEPRAWOMOCNA__ZSPR.421.2.2019_ZSPR.405.67.2019.txt
272,2020-03-09,2020,PRAWOMOCNA,ZSPR.421.19.2019,1,nakłada na V. Sp. z o.o. w likwidacji z siedzibą w Z. przy ul. (…) karę pieniężną w kwocie,stwierdzając naruszenie przez V,współpraca z organem nadzorczym (art. 31 RODO),,art.57ust.1lit.a;art.58ust.1lit.e;art.58ust.6;art.31;art.58ust.1lit.f;art.57;art.58;art.83ust.2;art.83;art.83ust.2lit.b;art.83ust.2lit.k;art.83ust.1;art.83ust.3;art.32ust.2;art.5ust.2;art.6ust.1;art.34;art.24;art.32;art.24ust.1;art.32ust.1;Art.5;art.5ust.1lit.f;art.32ust.1lit.b;art.32ust.1lit.d;art.25ust.1;art.32ust1lit.d;art.5ust.1lit.a;art.6ust.1lit.a;art.4pkt11;art.7ust.1;art.5ust1lit.a;art.83ust.2lit.a;art.42;art.58ust.2;art.6;art.83ust.5lit.a;art.5ust1lit.f,by-year/2020/2020-03-09__PRAWOMOCNA__ZSPR.421.19.2019.txt
273,2019-10-16,2019,PRAWOMOCNA,ZSPR.421.7.2019,1,"nakłada na S. Sp. z o.o. z siedzibą w P., karę pieniężną w kwocie 201 559,50 PLN",stwierdzając naruszenie przez S,zasady przetwarzania danych (art. 5 RODO),,art.24ust.1;art.5ust.2;art.6ust.1;art.12ust.1;art.5ust.1lit.a;art.17ust.1lit.b;art.24ust1;art.6ust.1lit.f;art.7ust.3;art.12ust.2;art.58ust2liti;art.83ust.2lit.a;art.6ust.1lit.a;art.42;art.58ust.2;art.83ust.5lit.a;art.83ust.3;art.83;art.83ust.1,by-year/2019/2019-10-16__PRAWOMOCNA__ZSPR.421.7.2019.txt
274,2022-07-05,2022,PRAWOMOCNA,ZSPR.440.1055.2019,1,udziela B. Spółka Akcyjna z siedzibą w W. upomnienia za naruszenie art. 12 ust. 3 w zw.,udziela B,przejrzysta komunikacja i wykonywanie praw (art. 12 RODO),,art.12ust.1;art.12ust.2;art.12ust3;art.17ust.1;art.58ust.2lit.b,by-year/2022/2022-07-05__PRAWOMOCNA__ZSPR.440.1055.2019.txt
275,2019-03-21,2019,PRAWOMOCNA,ZSPR.440.195.2019,0,2. w pozostałym zakresie umarza postępowanie.,brak stwierdzenia naruszenia,,,art.6ust.1litf;art.6ust.1lit.c;art.6lit.c;art.6ust.1lit.f;art.6lit.f;art.4,by-year/2019/2019-03-21__PRAWOMOCNA__ZSPR.440.195.2019.txt
276,2019-04-25,2019,PRAWOMOCNA,ZSPR.440.43.2019,1,"nakłada na E. z siedzibą w O. przy ul. (…), administracyjną karę pieniężną w wysokości",stwierdzając naruszenie przez E,zasady przetwarzania danych (art. 5 RODO),,art.34;art.57ust.1;art.57;Art.5;art.5ust.1lit.f;art.32ust.1lit.b;art.32ust.2;art.32;art.5ust.1lit.c;art.58ust.2lit.i;art.83ust.2;art.58ust.2lit.a;art.83ust.1;art.83ust.2lit.d;art.25;art.83ust.2lit.k;art.83ust.2lit.a;art.5ust.1litf;art.58ust.2;art.83ust.4lit.a;art.83;art.83ust.3;art.83ust.5lit.a,by-year/2019/2019-04-25__PRAWOMOCNA__ZSPR.440.43.2019.txt
277,2019-03-20,2019,PRAWOMOCNA,ZSPR.440.493.2019,0,odmawia uwzględnienia wniosku.,brak stwierdzenia naruszenia,,,art.1ust1;art.6ust.1;art.4pkt2;art.6ust1,by-year/2019/2019-03-20__PRAWOMOCNA__ZSPR.440.493.2019.txt
278,2022-02-09,2022,PRAWOMOCNA,ZSPR.440.911.2019,0,nakazuje (…) Spółce Akcyjnej z siedzibą w I. przy ul. (…) usunięcie danych osobowych,brak stwierdzenia naruszenia,,,art.6ust.1lit.f;art.6ust.1;art.6ust.1lit.a;art.6ust.1lit.c;art.58ust.2;art.58ust.2lit.c,by-year/2022/2022-02-09__PRAWOMOCNA__ZSPR.440.911.2019.txt
279,2022-12-30,2022,PRAWOMOCNA,ZSPR.440.963.2019,0,"nakazuje A. Sp. z o.o. z siedzibą w P. (poprzednio w P.), usunięcie danych osobowych",brak stwierdzenia naruszenia,,,art.6;art.5ust.1lit.c;art.6ust.1lit.b;art.6ust.1lit.a,by-year/2022/2022-12-30__PRAWOMOCNA__ZSPR.440.963.2019.txt
280,2019-07-11,2019,PRAWOMOCNA,ZSPR.440.985.2019,0,"nakazuje O. z siedzibą w P. udostępnienie danych osobowych w zakresie imion, nazwisk",brak stwierdzenia naruszenia,,,art.6ust.1litf;art.6ust.1lit.c;art.6lit.c;art.6ust.1lit.f;art.6lit.f,by-year/2019/2019-07-11__PRAWOMOCNA__ZSPR.440.985.2019.txt
281,2019-10-18,2019,PRAWOMOCNA,ZSPU.421.3.2019,1,nakłada na Burmistrza G. karę pieniężną w kwocie 40.000 zł (słownie:,stwierdzając naruszenie przez Burmistrza G,zasady przetwarzania danych (art. 5 RODO),40000 zl,art.32ust.1,by-year/2019/2019-10-18__PRAWOMOCNA__ZSPU.421.3.2019.txt
282,2019-04-16,2019,PRAWOMOCNA,ZSPU.440.131.2019,0,odmawia uwzględnienia wniosku.,brak stwierdzenia naruszenia,,,art.6ust.1;art.29;art.28;art.4ust.1pkt7;art.4ust.1pkt8;art.6ust.1lit.c,by-year/2019/2019-04-16__PRAWOMOCNA__ZSPU.440.131.2019.txt
283,2019-04-15,2019,PRAWOMOCNA,ZSPU.440.146.2019,0,umarza postępowanie.,brak stwierdzenia naruszenia,,,art.5ust.1;art.6ust.1;art.6,by-year/2019/2019-04-15__PRAWOMOCNA__ZSPU.440.146.2019.txt
284,2019-04-18,2019,PRAWOMOCNA,ZSPU.440.153.2019,0,umarza postępowanie.,brak stwierdzenia naruszenia,,,,by-year/2019/2019-04-18__PRAWOMOCNA__ZSPU.440.153.2019.txt
285,2019-05-17,2019,PRAWOMOCNA,ZSPU.440.156.2019,0,odmawia uwzględnienia wniosku.,brak stwierdzenia naruszenia,,,art.6ust.1;art.28;art.4ust.1pkt7;art.4ust.1pkt8;art.29;art.6ust.1lit.c,by-year/2019/2019-05-17__PRAWOMOCNA__ZSPU.440.156.2019.txt
286,2019-04-15,2019,NIEPRAWOMOCNA,ZSPU.440.200.2019,0,umarza postępowanie.,brak stwierdzenia naruszenia,,,art.57ust.1;art.58ust.2,by-year/2019/2019-04-15__NIEPRAWOMOCNA__ZSPU.440.200.2019.txt
287,2019-10-08,2019,PRAWOMOCNA,ZSPU.440.296.2019,1,"udziela upomnienia Komornikowi Sądowemu przy Sądzie Rejonowym dla W. F. we W.,",Pani A,zasady przetwarzania danych (art. 5 RODO),,art.5;art.4pkt2;art.5ust.1lit.d;Art.32ust.1;art.6ust.1lit.c,by-year/2019/2019-10-08__PRAWOMOCNA__ZSPU.440.296.2019.txt
288,2019-08-20,2019,PRAWOMOCNA,ZSPU.440.486.2019,0,odmawia uwzględnienia wniosku.,brak stwierdzenia naruszenia,,,art.91;art.9ust.2lit.d,by-year/2019/2019-08-20__PRAWOMOCNA__ZSPU.440.486.2019.txt
289,2019-04-16,2019,PRAWOMOCNA,ZSPU.440.71.2019.II,0,utrzymuje w mocy zaskarżoną.,brak stwierdzenia naruszenia,,,,by-year/2019/2019-04-16__PRAWOMOCNA__ZSPU.440.71.2019.II.txt
290,2019-06-17,2019,PRAWOMOCNA,ZSZZS.440.108.2019,0,odmawia uwzględnienia wniosku.,brak stwierdzenia naruszenia,,,art.6ust.1;art.89ust.1;art.24ust.1;art.5ust.1;art.58,by-year/2019/2019-06-17__PRAWOMOCNA__ZSZZS.440.108.2019.txt
291,2019-06-17,2019,PRAWOMOCNA,ZSZZS.440.50.2019,0,odmawia uwzględnienia wniosku.,brak stwierdzenia naruszenia,,,art.6ust.1;art.9;art.9ust.2;art.6ust.1lit.a;art.6ust.1lit.c;art.9ust.2lit.h;art.9ust.2lith;art.58;art.58ust.2,by-year/2019/2019-06-17__PRAWOMOCNA__ZSZZS.440.50.2019.txt
