seq,date,status,signature,resolution,violation,violated_requirement,fine,rodo_articles,summary
325,2022-01-22,NIEPRAWOMOCNA,DKN.5130.2215.2020,nakłada na R. Sp. z o.o. z siedzibą w M. przy ul. (…) administracyjną karę pieniężną,1,zasady przetwarzania danych (art. 5 RODO),4911732 zl,art.32ust.1;art.34ust.1;art.24;art.25;art.32;art.28ust.3lit.h;art.28ust.1;art.58ust.1lit.a;art.28ust.3;art.24ust.1;art.5ust.1lit.f;art.25ust.1;Art.32ust.2;Art.32ust.1lit.a;art.28ust.3lit.c;art.32ust.1lit.d;art.83ust.4lit.a;art.83ust.5lit.a;Art.83ust.3;art.83ust.2lit.a;art.83ust.2lit.d;art.83ust.2lit.e;art.83ust.2lit.g;art.9;art.87;art.83ust.2lit.b;art.83ust.2lit.c;art.83ust.2lit.f;art.34ust.2;art.83ust.2lit.k;art.83ust.2;art.58ust.2;art.83ust.2lit.i;art.83ust.2lit.j;art.58ust.2lit.b;art.83;art.83ust.1,"DKN.5130.2215.2020 — 2022-01-22 — NIEPRAWOMOCNA: nakłada na R. Sp. z o.o. z siedzibą w M. przy ul. (…) administracyjną karę pieniężną. Naruszenie: 1. Naruszony wymóg: zasady przetwarzania danych (art. 5 RODO). Kara: 4911732 zl. Artykuły RODO (wykryte): art.32ust.1, art.34ust.1, art.24, art.25, art.32, art.28ust.3lit.h, art.28ust.1, art.58ust.1lit.a, art.28ust.3, art.24ust.1, art.5ust.1lit.f, art.25ust.1, Art.32ust.2, Art.32ust.1lit.a, art.28ust.3lit.c, art.32ust.1lit.d, art.83ust.4lit.a, art.83ust.5lit.a, Art.83ust.3, art.83ust.2lit.a, art.83ust.2lit.d, art.83ust.2lit.e, art.83ust.2lit.g, art.9, art.87, art.83ust.2lit.b, art.83ust.2lit.c, art.83ust.2lit.f, art.34ust.2, art.83ust.2lit.k, art.83ust.2, art.58ust.2, art.83ust.2lit.i, art.83ust.2lit.j, art.58ust.2lit.b, art.83, art.83ust.1."
326,2024-11-12,PRAWOMOCNA,DKN.5130.2415.2020,"nakłada na X. z siedzibą w W. przy ul. (…), za naruszenie art. 32 ust. 1 i 2 oraz art.",1) stwierdzając naruszenie przez A,odpowiedzialność administratora (art. 24 RODO),,art.5ust.1lit.f;art.5ust.2;art.32ust.1;art.28ust.3lit.c;art.28ust.3;art.28ust.3lit.h;art.57ust.1lit.a;Art.5;art.24ust.1;art.25ust.1;art.32ust.2;art.9;art.10;art.4pkt7;art.4pkt8;art.24;art.5ust.1;art.28ust.1;art.32;art.32ust.1lit.d;art.58ust.2lit.i;art.83;art.83ust.4lit.a;art.83ust.5lit.a;Art.83ust.3;art.83ust.2lit.a;Art.82ust.1;art.83ust.2lit.b;art.83ust.2lit.e;art.6ust.1;art.21ust.2;art.83ust.2lit.g;art.83ust.2lit.f;art.83ust.2;art.83ust.2lit.c;art.83ust.2lit.d;art.25;art.83ust.2lit.h;art.58ust.2;art.83ust.2lit.i;art.83ust.2lit.j;art.83ust.2lit.k;art.83ust.1;art.83ust.5;art.83ust.4,"DKN.5130.2415.2020 — 2024-11-12 — PRAWOMOCNA: nakłada na X. z siedzibą w W. przy ul. (…), za naruszenie art. 32 ust. 1 i 2 oraz art.. Naruszenie: 1) stwierdzając naruszenie przez A. Naruszony wymóg: odpowiedzialność administratora (art. 24 RODO). Artykuły RODO (wykryte): art.5ust.1lit.f, art.5ust.2, art.32ust.1, art.28ust.3lit.c, art.28ust.3, art.28ust.3lit.h, art.57ust.1lit.a, Art.5, art.24ust.1, art.25ust.1, art.32ust.2, art.9, art.10, art.4pkt7, art.4pkt8, art.24, art.5ust.1, art.28ust.1, art.32, art.32ust.1lit.d, art.58ust.2lit.i, art.83, art.83ust.4lit.a, art.83ust.5lit.a, Art.83ust.3, art.83ust.2lit.a, Art.82ust.1, art.83ust.2lit.b, art.83ust.2lit.e, art.6ust.1, art.21ust.2, art.83ust.2lit.g, art.83ust.2lit.f, art.83ust.2, art.83ust.2lit.c, art.83ust.2lit.d, art.25, art.83ust.2lit.h, art.58ust.2, art.83ust.2lit.i, art.83ust.2lit.j, art.83ust.2lit.k, art.83ust.1, art.83ust.5, art.83ust.4."
327,2021-01-11,PRAWOMOCNA,DKN.5130.2815.2020,udziela upomnienia U. S.A.,stwierdzając naruszenie przez U,zasady przetwarzania danych (art. 5 RODO),,art.57ust.1lit.a;Art.5;art.5ust.1lit.f;art.24ust.1;art.25ust.1;art.32ust.1;art.32;art.32ust.2;art.32ust.1lit.d;art.58ust.2lit.b;art.83ust.4;art.83ust.5;art.83ust.2,"DKN.5130.2815.2020 — 2021-01-11 — PRAWOMOCNA: udziela upomnienia U. S.A.. Naruszenie: stwierdzając naruszenie przez U. Naruszony wymóg: zasady przetwarzania danych (art. 5 RODO). Artykuły RODO (wykryte): art.57ust.1lit.a, Art.5, art.5ust.1lit.f, art.24ust.1, art.25ust.1, art.32ust.1, art.32, art.32ust.2, art.32ust.1lit.d, art.58ust.2lit.b, art.83ust.4, art.83ust.5, art.83ust.2."
328,2021-04-22,NIEPRAWOMOCNA,DKN.5130.3114.2020,"nakłada na (…) Spółka Akcyjna z siedzibą w P. przy ul. (…), za naruszenie art. 32",1) stwierdzając naruszenie przez (…) Spółka Akcyjna z siedzibą w P,odpowiedzialność administratora (art. 24 RODO),1136975 zl,art.32ust.1;art.58ust.1lit.a;art.83ust.5lit.e;art.34ust.1;art.31;art.33;art.34;art.34ust1;art.24ust.1;art.5ust.1lit.f;art.32;Art.32ust.2;art.34ust.2;art.33ust.3lit.c;art.83ust.4lit.a;art.83ust.2lit.a;art.83ust.2lit.d;art.83ust.2lit.g;art.83ust.2lit.f;art.83ust.2;art.83ust.2lit.b;art.83ust.2lit.c;art.83ust.2lit.e;art.58ust.2;art.83ust.2lit.i;art.83ust.2lit.j;art.83ust.2lit.k;art.83;art.83ust.1,"DKN.5130.3114.2020 — 2021-04-22 — NIEPRAWOMOCNA: nakłada na (…) Spółka Akcyjna z siedzibą w P. przy ul. (…), za naruszenie art. 32. Naruszenie: 1) stwierdzając naruszenie przez (…) Spółka Akcyjna z siedzibą w P. Naruszony wymóg: odpowiedzialność administratora (art. 24 RODO). Kara: 1136975 zl. Artykuły RODO (wykryte): art.32ust.1, art.58ust.1lit.a, art.83ust.5lit.e, art.34ust.1, art.31, art.33, art.34, art.34ust1, art.24ust.1, art.5ust.1lit.f, art.32, Art.32ust.2, art.34ust.2, art.33ust.3lit.c, art.83ust.4lit.a, art.83ust.2lit.a, art.83ust.2lit.d, art.83ust.2lit.g, art.83ust.2lit.f, art.83ust.2, art.83ust.2lit.b, art.83ust.2lit.c, art.83ust.2lit.e, art.58ust.2, art.83ust.2lit.i, art.83ust.2lit.j, art.83ust.2lit.k, art.83, art.83ust.1."
330,2021-06-30,NIEPRAWOMOCNA,DKN.5131.11.2020,"nakazuje Fundacji (…) z siedzibą w P. przy (…) zawiadomienie osób, których dane",1) stwierdzając naruszenie przez Fundację (…) z siedzibą w P,zgłoszenie naruszenia do UODO (art. 33 RODO),,art.33ust.1;art.34ust.1;art.34ust.2;art.58ust.1lit.a;art.9ust.1;art.10;art.4pkt12;Art.33;art.33ust.3lit.b;art.33ust.3;art.5ust.1lit.a;art.34;art.34ust.3lit.c;art.34ust.4;art.58ust.2lit.e;art.58ust.2lit.i;art.58ust.2;art.83;art.83ust.4lit.a;art.83ust.2;art.83ust.2lit.a;art.83ust.2lit.b;art.83ust.2lit.f;art.83ust.2lit.d;art.83ust.2lit.e;art.83ust.2lit.i;art.40;art.83ust2lit.j,"DKN.5131.11.2020 — 2021-06-30 — NIEPRAWOMOCNA: nakazuje Fundacji (…) z siedzibą w P. przy (…) zawiadomienie osób, których dane. Naruszenie: 1) stwierdzając naruszenie przez Fundację (…) z siedzibą w P. Naruszony wymóg: zgłoszenie naruszenia do UODO (art. 33 RODO). Artykuły RODO (wykryte): art.33ust.1, art.34ust.1, art.34ust.2, art.58ust.1lit.a, art.9ust.1, art.10, art.4pkt12, Art.33, art.33ust.3lit.b, art.33ust.3, art.5ust.1lit.a, art.34, art.34ust.3lit.c, art.34ust.4, art.58ust.2lit.e, art.58ust.2lit.i, art.58ust.2, art.83, art.83ust.4lit.a, art.83ust.2, art.83ust.2lit.a, art.83ust.2lit.b, art.83ust.2lit.f, art.83ust.2lit.d, art.83ust.2lit.e, art.83ust.2lit.i, art.40, art.83ust2lit.j."
331,2023-01-19,NIEPRAWOMOCNA,DKN.5131.12.2020,nakłada na Sąd Rejonowy Szczecin-Centrum z siedzibą w Szczecinie przy ul.,1) stwierdzając naruszenie przez Sąd Rejonowy Szczecin-Centrum w Szczecinie przepi- sów art,zasady przetwarzania danych (art. 5 RODO),,art.32ust.1;art.55;art.5ust.1lit.f;Art.5;art.24ust.1;art.5ust.1;art.5ust.2;art.25ust.1;art.25ust.2;art.32ust.2;art.32ust.1lit.d;art.32ust.1lit.b;art.58ust.2lit.i;art.83;art.83ust.2lit.a;art.83ust.2lit.b;art.83ust.2lit.g;art.9;art.83ust.2lit.f;art.83ust.2;art.83ust.2lit.c;art.34ust.3lit.c;art.25;art.83ust.2lit.d;art.32;art.83ust.2lit.e;art.83ust.2lith;art.58ust.2;art.83ust.2lit.i;art.83ust2lit.j;art.83ust.2lit.k;art.58ust.2lit.b;art.83ust.3;art.5ust1lit.f;art.83ust.1;art.5ust.1lit.e;art.5ust.1lite,"DKN.5131.12.2020 — 2023-01-19 — NIEPRAWOMOCNA: nakłada na Sąd Rejonowy Szczecin-Centrum z siedzibą w Szczecinie przy ul.. Naruszenie: 1) stwierdzając naruszenie przez Sąd Rejonowy Szczecin-Centrum w Szczecinie przepi- sów art. Naruszony wymóg: zasady przetwarzania danych (art. 5 RODO). Artykuły RODO (wykryte): art.32ust.1, art.55, art.5ust.1lit.f, Art.5, art.24ust.1, art.5ust.1, art.5ust.2, art.25ust.1, art.25ust.2, art.32ust.2, art.32ust.1lit.d, art.32ust.1lit.b, art.58ust.2lit.i, art.83, art.83ust.2lit.a, art.83ust.2lit.b, art.83ust.2lit.g, art.9, art.83ust.2lit.f, art.83ust.2, art.83ust.2lit.c, art.34ust.3lit.c, art.25, art.83ust.2lit.d, art.32, art.83ust.2lit.e, art.83ust.2lith, art.58ust.2, art.83ust.2lit.i, art.83ust2lit.j, art.83ust.2lit.k, art.58ust.2lit.b, art.83ust.3, art.5ust1lit.f, art.83ust.1, art.5ust.1lit.e, art.5ust.1lite."
332,2020-12-09,PRAWOMOCNA,DKN.5131.5.2020,nakłada na M. (…) S.A. z siedzibą w W. karę pieniężną w wysokości 85 588 złotych (słow-,stwierdzając naruszenie przez M,zgłoszenie naruszenia do UODO (art. 33 RODO),85588 zl,art.33ust.1;art.34ust.1;art.4pkt12;art.34ust.2;art.33ust.3lit.b;art.33ust.3;art.58ust.2lit.i;art.58ust.2;art.83;art.83ust.4lit.a;art.33;art.83ust.2;art.83ust.2lit.a;art.83ust.2lit.b;art.83ust.2lit.d;art.83ust.2lit.f;art.83ust.2lit.g;art.9;art.83ust.2lit.h;art.83ust.2lit.c;art.83ust.2lit.e;art.83ust.2lit.i;art.40;art.83ust2lit.j;art.83ust.1,"DKN.5131.5.2020 — 2020-12-09 — PRAWOMOCNA: nakłada na M. (…) S.A. z siedzibą w W. karę pieniężną w wysokości 85 588 złotych (słow-. Naruszenie: stwierdzając naruszenie przez M. Naruszony wymóg: zgłoszenie naruszenia do UODO (art. 33 RODO). Kara: 85588 zl. Artykuły RODO (wykryte): art.33ust.1, art.34ust.1, art.4pkt12, art.34ust.2, art.33ust.3lit.b, art.33ust.3, art.58ust.2lit.i, art.58ust.2, art.83, art.83ust.4lit.a, art.33, art.83ust.2, art.83ust.2lit.a, art.83ust.2lit.b, art.83ust.2lit.d, art.83ust.2lit.f, art.83ust.2lit.g, art.9, art.83ust.2lit.h, art.83ust.2lit.c, art.83ust.2lit.e, art.83ust.2lit.i, art.40, art.83ust2lit.j, art.83ust.1."
333,2021-01-05,PRAWOMOCNA,DKN.5131.6.2020,"nakazuje zawiadomienie osób, których dane dotyczą, o naruszeniu ochrony danych",stwierdzając naruszenie przez (…) Uniwersytet (…) w G,zgłoszenie naruszenia do UODO (art. 33 RODO),25000 zl,art.33ust.1;art.34ust.1;art.34ust.2;art.58ust.1lit.a;art.34;art.4pkt12;art.33ust.3lit.b;art.5ust.1lit.a;art.34ust.4;art.58ust.2lit.i;art.58ust.2;art.83;art.83ust.4lit.a;art.33;art.83ust.2;art.83ust.2lit.a;art.83ust.2lit.b;art.83ust.2lit.f;art.83ust.2lit.g;art.9;art.83ust.2lit.h;art.83ust.2lit.c;art.83ust.2lit.d;art.83ust.2lit.e;art.83ust.2lit.i;art.40;art.83ust.2lit.j;art.83ust.2lit.k;art.83ust.1,"DKN.5131.6.2020 — 2021-01-05 — PRAWOMOCNA: nakazuje zawiadomienie osób, których dane dotyczą, o naruszeniu ochrony danych. Naruszenie: stwierdzając naruszenie przez (…) Uniwersytet (…) w G. Naruszony wymóg: zgłoszenie naruszenia do UODO (art. 33 RODO). Kara: 25000 zl. Artykuły RODO (wykryte): art.33ust.1, art.34ust.1, art.34ust.2, art.58ust.1lit.a, art.34, art.4pkt12, art.33ust.3lit.b, art.5ust.1lit.a, art.34ust.4, art.58ust.2lit.i, art.58ust.2, art.83, art.83ust.4lit.a, art.33, art.83ust.2, art.83ust.2lit.a, art.83ust.2lit.b, art.83ust.2lit.f, art.83ust.2lit.g, art.9, art.83ust.2lit.h, art.83ust.2lit.c, art.83ust.2lit.d, art.83ust.2lit.e, art.83ust.2lit.i, art.40, art.83ust.2lit.j, art.83ust.2lit.k, art.83ust.1."
334,2021-01-11,PRAWOMOCNA,DKN.5131.7.2020,nakłada na M. S.A. z siedzibą w Z. przy ul. (…) administracyjną karę pieniężną w wysoko-,stwierdzając naruszenie przez M,zgłoszenie naruszenia do UODO (art. 33 RODO),,art.33ust.1;art.58ust.1lit.a;art.4;art.4pkt12;art.33ust.3;art.34;art.58ust.2lit.i;art.58ust.2;art.83;art.83ust.4lit.a;art.33;art.83ust.2;art.83ust.2lit.a;art.83ust.2lit.b;art.83ust.2lit.d;art.83ust.2lit.f;art.83ust.2lit.c;art.83ust.2lit.e;art.9;art.83ust.2lit.g;art.83ust.2lit.h;art.83ust.2lit.i;art.40;art.83ust.2lit.j;art.83ust.2lit.k;art.83ust.1,"DKN.5131.7.2020 — 2021-01-11 — PRAWOMOCNA: nakłada na M. S.A. z siedzibą w Z. przy ul. (…) administracyjną karę pieniężną w wysoko-. Naruszenie: stwierdzając naruszenie przez M. Naruszony wymóg: zgłoszenie naruszenia do UODO (art. 33 RODO). Artykuły RODO (wykryte): art.33ust.1, art.58ust.1lit.a, art.4, art.4pkt12, art.33ust.3, art.34, art.58ust.2lit.i, art.58ust.2, art.83, art.83ust.4lit.a, art.33, art.83ust.2, art.83ust.2lit.a, art.83ust.2lit.b, art.83ust.2lit.d, art.83ust.2lit.f, art.83ust.2lit.c, art.83ust.2lit.e, art.9, art.83ust.2lit.g, art.83ust.2lit.h, art.83ust.2lit.i, art.40, art.83ust.2lit.j, art.83ust.2lit.k, art.83ust.1."
371,2021-12-31,PRAWOMOCNA,DKE.561.1.2021,nakłada na S. Spółka z o.o. z siedzibą w W. przy ul. (…) administracyjną karę pieniężną w,stwierdzając naruszenie przez S,warunki zgody (art. 7 RODO),,art.58ust.1lit.e;art.83ust.5lit.e;art.58ust.1lit.a;art.57ust.1lit.a;art.51;art.58ust.1;art.83ust5lite;art.58ust.1lite;art.83ust.2;art.83ust.2lit.a;art.83ust.2lit.b;art.83ust.2lit.f;art.83;art.83ust.1,"DKE.561.1.2021 — 2021-12-31 — PRAWOMOCNA: nakłada na S. Spółka z o.o. z siedzibą w W. przy ul. (…) administracyjną karę pieniężną w. Naruszenie: stwierdzając naruszenie przez S. Naruszony wymóg: warunki zgody (art. 7 RODO). Artykuły RODO (wykryte): art.58ust.1lit.e, art.83ust.5lit.e, art.58ust.1lit.a, art.57ust.1lit.a, art.51, art.58ust.1, art.83ust5lite, art.58ust.1lite, art.83ust.2, art.83ust.2lit.a, art.83ust.2lit.b, art.83ust.2lit.f, art.83, art.83ust.1."
372,2022-01-13,PRAWOMOCNA,DKE.561.10.2021,"udziela upomnienia Pani B. Ż., prowadzącej działalność gospodarczą pod firmą „J” we W.",przy ul,prawo dostępu do danych (art. 15 RODO),,art.15ust.3;art.83ust.5lit.e;art.58ust.1lit.a;art.57ust.1lit.a;art.51;art.33;art.58ust.1;art.58ust.2lit.b;art.83ust.2,"DKE.561.10.2021 — 2022-01-13 — PRAWOMOCNA: udziela upomnienia Pani B. Ż., prowadzącej działalność gospodarczą pod firmą „J” we W.. Naruszenie: przy ul. Naruszony wymóg: prawo dostępu do danych (art. 15 RODO). Artykuły RODO (wykryte): art.15ust.3, art.83ust.5lit.e, art.58ust.1lit.a, art.57ust.1lit.a, art.51, art.33, art.58ust.1, art.58ust.2lit.b, art.83ust.2."
373,2022-02-04,PRAWOMOCNA,DKE.561.11.2021,udziela upomnienia P. Sp. z o.o. z siedzibą w K. przy ul. (…) za naruszenie przepisów art.,udziela upomnienia P,zgłoszenie naruszenia do UODO (art. 33 RODO),,art.83ust.5lit.e;art.58ust.1lit.a;art.57ust.1lit.a;art.51;art.33;art.58ust.1;art.58ust.2lit.b;art.83ust.2,"DKE.561.11.2021 — 2022-02-04 — PRAWOMOCNA: udziela upomnienia P. Sp. z o.o. z siedzibą w K. przy ul. (…) za naruszenie przepisów art.. Naruszenie: udziela upomnienia P. Naruszony wymóg: zgłoszenie naruszenia do UODO (art. 33 RODO). Artykuły RODO (wykryte): art.83ust.5lit.e, art.58ust.1lit.a, art.57ust.1lit.a, art.51, art.33, art.58ust.1, art.58ust.2lit.b, art.83ust.2."
374,2021-09-07,PRAWOMOCNA,DKE.561.12.2021,udziela upomnienia Panu M. B. prowadzącemu działalność gospodarczą pod firmą (…) za,,warunki zgody (art. 7 RODO),,art.58ust.1lit.a;art.83ust.5lit.e;art.57ust.1lit.a;art.51;art.58ust.1;art.83ust5lite;art.83ust.4lit.a;art.58ust.2lit.b;art.58ust.1lit.e;art.83ust.2;art.83ust.1,"DKE.561.12.2021 — 2021-09-07 — PRAWOMOCNA: udziela upomnienia Panu M. B. prowadzącemu działalność gospodarczą pod firmą (…) za. Naruszony wymóg: warunki zgody (art. 7 RODO). Artykuły RODO (wykryte): art.58ust.1lit.a, art.83ust.5lit.e, art.57ust.1lit.a, art.51, art.58ust.1, art.83ust5lite, art.83ust.4lit.a, art.58ust.2lit.b, art.58ust.1lit.e, art.83ust.2, art.83ust.1."
375,2021-12-22,PRAWOMOCNA,DKE.561.13.2021,nakłada na wyżej wymienioną administracyjną karę pieniężną w kwocie 4.548 PLN,stwierdzając naruszenie przez Panią J,zgłoszenie naruszenia do UODO (art. 33 RODO),,art.58ust.1lit.a;art.33;art.34;art.57ust.1lit.a;art.51;art.58ust.1;art.83ust.5lit.e;art.83ust.2;art.83ust.2lit.a;art.83ust.2lit.b;art.83ust.2lit.f;art.83;art.83ust.1,"DKE.561.13.2021 — 2021-12-22 — PRAWOMOCNA: nakłada na wyżej wymienioną administracyjną karę pieniężną w kwocie 4.548 PLN. Naruszenie: stwierdzając naruszenie przez Panią J. Naruszony wymóg: zgłoszenie naruszenia do UODO (art. 33 RODO). Artykuły RODO (wykryte): art.58ust.1lit.a, art.33, art.34, art.57ust.1lit.a, art.51, art.58ust.1, art.83ust.5lit.e, art.83ust.2, art.83ust.2lit.a, art.83ust.2lit.b, art.83ust.2lit.f, art.83, art.83ust.1."
376,2022-01-19,PRAWOMOCNA,DKE.561.14.2021,"udziela upomnienia T. Sp. z o.o. z siedzibą w W. przy ul. (…), za naruszenie przepisów",udziela upomnienia T,zgłoszenie naruszenia do UODO (art. 33 RODO),,art.83ust.5lit.e;art.58ust.1lit.a;art.57ust.1lit.a;art.51;art.33;art.58ust.1;art.58ust.2lit.b;art.83ust.2,"DKE.561.14.2021 — 2022-01-19 — PRAWOMOCNA: udziela upomnienia T. Sp. z o.o. z siedzibą w W. przy ul. (…), za naruszenie przepisów. Naruszenie: udziela upomnienia T. Naruszony wymóg: zgłoszenie naruszenia do UODO (art. 33 RODO). Artykuły RODO (wykryte): art.83ust.5lit.e, art.58ust.1lit.a, art.57ust.1lit.a, art.51, art.33, art.58ust.1, art.58ust.2lit.b, art.83ust.2."
377,2022-10-05,PRAWOMOCNA,DKE.561.15.2021,nakłada na D. sp. z o.o. sp. k. z siedzibą w P. przy ul. (…) administracyjną karę pieniężną,,zasady przetwarzania danych (art. 5 RODO),,art.5ust.2;art.83ust.6;art.83ust.2;art.83ust.2lit.a;art.83ust.2lit.f;art.83ust.2lit.b;art.83;art.83ust.2lit.c;art.25;art.83ust.2lit.d;art.83ust.2lit.g;art.83ust.2lit.h;art.83ust.2lit.e;art.58ust.2;art.83ust.2lit.i;art.83ust.2lit.j;art.40;art.42;art.83ust.2lit.k;art.83ust.1;art.83ust.4lita;art.83ust.5lit.e,"DKE.561.15.2021 — 2022-10-05 — PRAWOMOCNA: nakłada na D. sp. z o.o. sp. k. z siedzibą w P. przy ul. (…) administracyjną karę pieniężną. Naruszony wymóg: zasady przetwarzania danych (art. 5 RODO). Artykuły RODO (wykryte): art.5ust.2, art.83ust.6, art.83ust.2, art.83ust.2lit.a, art.83ust.2lit.f, art.83ust.2lit.b, art.83, art.83ust.2lit.c, art.25, art.83ust.2lit.d, art.83ust.2lit.g, art.83ust.2lit.h, art.83ust.2lit.e, art.58ust.2, art.83ust.2lit.i, art.83ust.2lit.j, art.40, art.42, art.83ust.2lit.k, art.83ust.1, art.83ust.4lita, art.83ust.5lit.e."
378,2021-12-01,PRAWOMOCNA,DKE.561.16.2021,nakłada na P. Sp. z o.o. z siedzibą we W. przy ul. (…) administracyjną karę pieniężną w,stwierdzając naruszenie przez P,współpraca z organem nadzorczym (art. 31 RODO),,art.58ust.1lit.e;art.58ust.1lit.a;art.83ust.5lit.e;art.58ust.1lita;art.57ust.1lit.a;art.51;art.58ust.1;art.83ust5lite;art.31;art.58ust.2lit.i;art.83ust.4lit.a;art.83ust.2;art.83ust.2lit.a;art.83ust.2lit.b;art.83ust.2lit.f;art.83;art.83ust.1,"DKE.561.16.2021 — 2021-12-01 — PRAWOMOCNA: nakłada na P. Sp. z o.o. z siedzibą we W. przy ul. (…) administracyjną karę pieniężną w. Naruszenie: stwierdzając naruszenie przez P. Naruszony wymóg: współpraca z organem nadzorczym (art. 31 RODO). Artykuły RODO (wykryte): art.58ust.1lit.e, art.58ust.1lit.a, art.83ust.5lit.e, art.58ust.1lita, art.57ust.1lit.a, art.51, art.58ust.1, art.83ust5lite, art.31, art.58ust.2lit.i, art.83ust.4lit.a, art.83ust.2, art.83ust.2lit.a, art.83ust.2lit.b, art.83ust.2lit.f, art.83, art.83ust.1."
379,2021-08-31,PRAWOMOCNA,DKE.561.17.2021,"udziela upomnienia Miejskiemu Ośrodkowi Edukacji (…) z siedzibą w B. przy ul. (…), za",,prawo dostępu do danych (art. 15 RODO),,art.15;art.83ust.5lit.e;art.58ust.1lit.a;art.57ust.1lit.a;art.51;art.58ust.1;art.31;art.58ust.2lit.b;art.83ust.2,"DKE.561.17.2021 — 2021-08-31 — PRAWOMOCNA: udziela upomnienia Miejskiemu Ośrodkowi Edukacji (…) z siedzibą w B. przy ul. (…), za. Naruszony wymóg: prawo dostępu do danych (art. 15 RODO). Artykuły RODO (wykryte): art.15, art.83ust.5lit.e, art.58ust.1lit.a, art.57ust.1lit.a, art.51, art.58ust.1, art.31, art.58ust.2lit.b, art.83ust.2."
380,2022-03-23,PRAWOMOCNA,DKE.561.18.2021,"nakłada na Pana P. K. zam. (…), Z. administracyjną karę pieniężną w kwocie 2.285 PLN",stwierdzając naruszenie przez Pana P,współpraca z organem nadzorczym (art. 31 RODO),,art.58ust.1lit.e;art.58ust.1lit.a;art.83ust.5lit.e;art.58ust.1lita;art.57ust.1lit.a;art.51;art.58ust.1;art.83ust5lite;art.31;art.58ust.2lit.i;art.83ust.4lit.a;art.83ust.2;art.83ust.2lit.a;art.83ust.2lit.b;art.83ust.2lit.f;art.83;art.83ust.1,"DKE.561.18.2021 — 2022-03-23 — PRAWOMOCNA: nakłada na Pana P. K. zam. (…), Z. administracyjną karę pieniężną w kwocie 2.285 PLN. Naruszenie: stwierdzając naruszenie przez Pana P. Naruszony wymóg: współpraca z organem nadzorczym (art. 31 RODO). Artykuły RODO (wykryte): art.58ust.1lit.e, art.58ust.1lit.a, art.83ust.5lit.e, art.58ust.1lita, art.57ust.1lit.a, art.51, art.58ust.1, art.83ust5lite, art.31, art.58ust.2lit.i, art.83ust.4lit.a, art.83ust.2, art.83ust.2lit.a, art.83ust.2lit.b, art.83ust.2lit.f, art.83, art.83ust.1."
381,2021-12-23,PRAWOMOCNA,DKE.561.19.2021,nakłada na wyżej wymienioną administracyjną karę pieniężną w kwocie 4.548 PLN,stwierdzając naruszenie przez Panią K,warunki zgody (art. 7 RODO),,art.58ust.1lit.a;art.83ust.5lit.e;art.57ust.1lit.a;art.51;art.58ust.1;art.83ust.2;art.83ust.2lit.a;art.83ust.2lit.b;art.83ust.2lit.f;art.83;art.83ust.1,"DKE.561.19.2021 — 2021-12-23 — PRAWOMOCNA: nakłada na wyżej wymienioną administracyjną karę pieniężną w kwocie 4.548 PLN. Naruszenie: stwierdzając naruszenie przez Panią K. Naruszony wymóg: warunki zgody (art. 7 RODO). Artykuły RODO (wykryte): art.58ust.1lit.a, art.83ust.5lit.e, art.57ust.1lit.a, art.51, art.58ust.1, art.83ust.2, art.83ust.2lit.a, art.83ust.2lit.b, art.83ust.2lit.f, art.83, art.83ust.1."
383,2022-12-16,PRAWOMOCNA,DKE.561.20.2021,"udziela upomnienia Pani D. S., prowadzącej działalność gospodarczą pod firmą: I., ul. (…)",P,zgłoszenie naruszenia do UODO (art. 33 RODO),,art.33;art.34;art.57ust.1lit.a;art.51;art.58ust.1;art.83ust.5lit.e;art.58ust.2lit.b;art.58ust.1lit.a;art.83ust.2,"DKE.561.20.2021 — 2022-12-16 — PRAWOMOCNA: udziela upomnienia Pani D. S., prowadzącej działalność gospodarczą pod firmą: I., ul. (…). Naruszenie: P. Naruszony wymóg: zgłoszenie naruszenia do UODO (art. 33 RODO). Artykuły RODO (wykryte): art.33, art.34, art.57ust.1lit.a, art.51, art.58ust.1, art.83ust.5lit.e, art.58ust.2lit.b, art.58ust.1lit.a, art.83ust.2."
384,2021-09-02,PRAWOMOCNA,DKE.561.21.2021,"udziela upomnienia Szpitalowi Wojewódzkiemu w P. z siedzibą w P. przy ul. (…), za naru-",,współpraca z organem nadzorczym (art. 31 RODO),,art.58ust.1lit.a;art.57ust.1lit.a;art.51;art.58ust.1;art.31;art.58ust.2lit.b;art.83ust.2,"DKE.561.21.2021 — 2021-09-02 — PRAWOMOCNA: udziela upomnienia Szpitalowi Wojewódzkiemu w P. z siedzibą w P. przy ul. (…), za naru-. Naruszony wymóg: współpraca z organem nadzorczym (art. 31 RODO). Artykuły RODO (wykryte): art.58ust.1lit.a, art.57ust.1lit.a, art.51, art.58ust.1, art.31, art.58ust.2lit.b, art.83ust.2."
